GAME 1
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
SalmonNigri,1,1,2,SalmonNigri,0,1,0,SalmonNigri,2,3,0,
SquidNigri,0,0,0,SquidNigri,1,1,0,SquidNigri,1,0,0,
EggNigri,1,0,1,EggNigri,1,1,0,EggNigri,1,0,0,
Pudding,0,2,2,Pudding,1,1,1,Pudding,1,2,0,
Wasabi,1,2,0,Wasabi,2,0,0,Wasabi,0,1,0,
Chopsticks,0,0,0,Chopsticks,2,1,0,Chopsticks,0,0,1,
GAME 5
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,0,1,Tempura,1,3,2,Tempura,0,0,3,
Sashimi,1,0,1,Sashimi,1,0,1,Sashimi,1,2,3,
Dumpling,0,1,1,Dumpling,1,1,1,Dumpling,1,0,1,
Maki,0,1,2,Maki,1,1,4,Maki,1,2,0,
SalmonNigri,1,1,2,SalmonNigri,0,0,1,SalmonNigri,2,1,2,
SquidNigri,0,1,0,SquidNigri,1,0,0,SquidNigri,3,1,0,
EggNigri,2,2,0,EggNigri,1,0,0,EggNigri,0,0,0,
Pudding,1,2,2,Pudding,1,1,0,Pudding,0,3,0,
Wasabi,2,1,0,Wasabi,1,1,0,Wasabi,1,0,0,
Chopsticks,1,0,0,Chopsticks,1,2,0,Chopsticks,0,0,0,
GAME 6
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,1,2,Tempura,1,0,2,Tempura,1,0,3,
Sashimi,1,1,1,Sashimi,1,0,0,Sashimi,0,1,2,
Dumpling,1,0,2,Dumpling,0,3,1,Dumpling,1,1,1,
Maki,1,0,1,Maki,2,1,2,Maki,1,4,2,
SalmonNigri,2,5,0,SalmonNigri,0,0,0,SalmonNigri,3,0,0,
SquidNigri,0,0,1,SquidNigri,0,1,1,SquidNigri,0,2,0,
EggNigri,1,0,0,EggNigri,1,2,0,EggNigri,1,0,0,
Pudding,2,0,2,Pudding,1,0,3,Pudding,1,0,1,
Wasabi,1,1,0,Wasabi,2,1,0,Wasabi,0,1,0,
Chopsticks,0,1,0,Chopsticks,1,1,0,Chopsticks,1,0,0,
GAME 7
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,3,1,2,Tempura,1,3,0,Tempura,0,4,0,
Sashimi,0,0,1,Sashimi,0,0,0,Sashimi,0,1,4,
Dumpling,0,1,3,Dumpling,1,2,2,Dumpling,1,0,1,
Maki,1,0,1,Maki,1,1,5,Maki,0,2,3,
SalmonNigri,2,3,0,SalmonNigri,2,1,0,SalmonNigri,2,0,0,
SquidNigri,0,1,0,SquidNigri,1,0,0,SquidNigri,4,0,0,
EggNigri,1,1,0,EggNigri,2,1,0,EggNigri,0,0,0,
Pudding,0,0,1,Pudding,0,1,2,Pudding,0,0,1,
Wasabi,1,2,1,Wasabi,0,0,0,Wasabi,0,2,0,
Chopsticks,1,0,0,Chopsticks,1,0,0,Chopsticks,2,0,0,
GAME 8
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,3,1,Tempura,0,0,1,Tempura,1,1,1,
Sashimi,0,1,1,Sashimi,0,0,4,Sashimi,1,1,1,
Dumpling,0,0,2,Dumpling,2,3,0,Dumpling,1,1,3,
Maki,1,0,2,Maki,1,3,1,Maki,0,0,2,
SalmonNigri,1,0,0,SalmonNigri,0,1,3,SalmonNigri,1,2,2,
SquidNigri,1,1,0,SquidNigri,2,0,0,SquidNigri,2,0,0,
EggNigri,1,1,0,EggNigri,2,0,0,EggNigri,1,0,0,
Pudding,2,2,1,Pudding,1,1,0,Pudding,1,2,0,
Wasabi,0,0,2,Wasabi,1,1,0,Wasabi,0,2,0,
Chopsticks,2,1,0,Chopsticks,0,0,0,Chopsticks,1,0,0,
GAME 9
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,1,0,Tempura,1,0,0,Tempura,1,1,4,
Sashimi,1,0,1,Sashimi,0,2,1,Sashimi,0,0,3,
Dumpling,2,1,3,Dumpling,1,1,1,Dumpling,0,3,0,
Maki,0,2,1,Maki,1,3,2,Maki,2,0,1,
SalmonNigri,1,2,2,SalmonNigri,1,0,0,SalmonNigri,1,2,1,
SquidNigri,0,1,1,SquidNigri,0,2,1,SquidNigri,1,0,0,
EggNigri,1,0,0,EggNigri,4,0,0,EggNigri,0,0,0,
Pudding,2,2,0,Pudding,0,1,3,Pudding,0,2,0,
Wasabi,2,0,0,Wasabi,1,0,0,Wasabi,3,0,0,
Chopsticks,0,0,1,Chopsticks,0,0,1,Chopsticks,1,1,0,
GAME 10
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,0,1,Tempura,0,1,0,Tempura,2,4,2,
Sashimi,0,2,1,Sashimi,2,1,0,Sashimi,1,2,2,
Dumpling,2,1,2,Dumpling,1,1,2,Dumpling,0,0,3,
Maki,2,0,1,Maki,0,0,0,Maki,1,2,1,
SalmonNigri,0,0,2,SalmonNigri,2,0,4,SalmonNigri,1,1,0,
SquidNigri,1,0,0,SquidNigri,1,1,0,SquidNigri,3,0,0,
EggNigri,2,2,0,EggNigri,0,1,0,EggNigri,0,0,0,
Pudding,0,3,1,Pudding,2,2,2,Pudding,0,0,0,
Wasabi,1,0,1,Wasabi,1,1,1,Wasabi,0,0,1,
Chopsticks,1,1,0,Chopsticks,0,1,0,Chopsticks,1,0,0,
GAME 11
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,0,3,Tempura,1,2,1,Tempura,0,2,0,
Sashimi,1,0,3,Sashimi,0,0,1,Sashimi,2,2,3,
Dumpling,1,2,2,Dumpling,0,1,0,Dumpling,2,4,0,
Maki,1,2,0,Maki,0,0,2,Maki,1,1,2,
SalmonNigri,0,4,0,SalmonNigri,1,2,1,SalmonNigri,0,0,1,
SquidNigri,0,0,1,SquidNigri,1,2,0,SquidNigri,2,0,0,
EggNigri,3,0,0,EggNigri,2,0,0,EggNigri,0,0,0,
Pudding,1,0,0,Pudding,1,1,2,Pudding,0,0,3,
Wasabi,1,0,0,Wasabi,1,0,2,Wasabi,2,0,0,
Chopsticks,0,1,0,Chopsticks,2,1,0,Chopsticks,0,0,0,
GAME 12
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,1,2,Tempura,0,3,2,Tempura,0,1,1,
Sashimi,0,3,1,Sashimi,0,1,3,Sashimi,0,2,1,
Dumpling,2,1,1,Dumpling,0,0,1,Dumpling,0,3,2,
Maki,0,0,1,Maki,1,1,2,Maki,0,1,3,
SalmonNigri,1,1,1,SalmonNigri,2,0,1,SalmonNigri,2,1,1,
SquidNigri,3,0,0,SquidNigri,2,0,0,SquidNigri,1,0,0,
EggNigri,0,1,2,EggNigri,0,0,0,EggNigri,1,1,0,
Pudding,2,1,0,Pudding,1,1,0,Pudding,5,0,0,
Wasabi,0,0,1,Wasabi,1,2,0,Wasabi,0,0,1,
Chopsticks,0,1,0,Chopsticks,2,1,0,Chopsticks,0,0,0,
GAME 13
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,3,1,1,Tempura,1,0,0,Tempura,0,1,0,
Sashimi,1,0,2,Sashimi,0,2,3,Sashimi,1,1,1,
Dumpling,1,1,1,Dumpling,2,2,0,Dumpling,0,2,2,
Maki,0,0,2,Maki,0,1,2,Maki,2,1,4,
SalmonNigri,2,4,0,SalmonNigri,1,0,0,SalmonNigri,3,0,0,
SquidNigri,0,1,0,SquidNigri,1,0,0,SquidNigri,2,2,0,
EggNigri,0,1,1,EggNigri,0,2,1,EggNigri,0,0,0,
Pudding,1,1,1,Pudding,0,1,1,Pudding,0,2,2,
Wasabi,0,0,1,Wasabi,2,1,2,Wasabi,0,0,0,
Chopsticks,1,0,0,Chopsticks,2,0,0,Chopsticks,1,0,0,
GAME 14
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,2,0,Tempura,0,0,3,Tempura,2,1,2,
Sashimi,1,1,1,Sashimi,1,0,2,Sashimi,1,1,0,
Dumpling,1,2,3,Dumpling,1,0,1,Dumpling,1,1,0,
Maki,2,0,1,Maki,1,0,2,Maki,1,1,5,
SalmonNigri,2,0,0,SalmonNigri,2,2,1,SalmonNigri,0,0,2,
SquidNigri,2,0,0,SquidNigri,2,1,0,SquidNigri,1,0,0,
EggNigri,0,2,0,EggNigri,0,3,0,EggNigri,0,0,0,
Pudding,0,1,2,Pudding,0,3,0,Pudding,1,3,0,
Wasabi,1,1,2,Wasabi,0,0,0,Wasabi,0,2,0,
Chopsticks,0,0,0,Chopsticks,2,0,0,Chopsticks,2,0,0,
GAME 15
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,3,1,1,Tempura,0,0,2,Tempura,0,1,2,
Sashimi,0,2,0,Sashimi,2,2,3,Sashimi,2,1,1,
Dumpling,2,1,1,Dumpling,1,0,1,Dumpling,1,1,2,
Maki,1,0,2,Maki,2,2,1,Maki,1,2,2,
SalmonNigri,1,1,1,SalmonNigri,0,0,0,SalmonNigri,1,2,1,
SquidNigri,0,2,0,SquidNigri,1,1,0,SquidNigri,0,2,0,
EggNigri,1,1,0,EggNigri,1,2,0,EggNigri,0,0,0,
Pudding,0,0,3,Pudding,0,0,1,Pudding,2,0,1,
Wasabi,1,0,1,Wasabi,0,1,1,Wasabi,2,0,0,
Chopsticks,0,1,0,Chopsticks,2,1,0,Chopsticks,0,0,0,
GAME 16
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,2,3,0,Tempura,2,0,1,Tempura,1,0,2,
Sashimi,0,0,2,Sashimi,0,0,1,Sashimi,3,2,1,
Dumpling,0,2,3,Dumpling,0,2,0,Dumpling,1,1,2,
Maki,2,1,0,Maki,2,3,3,Maki,0,1,0,
SalmonNigri,0,2,2,SalmonNigri,2,1,1,SalmonNigri,1,1,0,
SquidNigri,0,0,0,SquidNigri,1,2,2,SquidNigri,1,0,0,
EggNigri,3,0,0,EggNigri,1,0,0,EggNigri,1,0,0,
Pudding,0,0,2,Pudding,0,1,1,Pudding,0,0,3,
Wasabi,1,0,0,Wasabi,0,0,0,Wasabi,0,4,1,
Chopsticks,1,1,0,Chopsticks,1,0,0,Chopsticks,1,0,0,
GAME 17
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,0,3,Tempura,1,1,0,Tempura,1,1,1,
Sashimi,0,1,3,Sashimi,3,2,1,Sashimi,1,1,1,
Dumpling,2,2,1,Dumpling,1,1,3,Dumpling,0,0,1,
Maki,0,1,2,Maki,1,1,2,Maki,0,4,3,
SalmonNigri,1,0,0,SalmonNigri,0,1,2,SalmonNigri,2,1,2,
SquidNigri,3,0,0,SquidNigri,1,2,0,SquidNigri,0,0,0,
EggNigri,2,1,0,EggNigri,0,0,0,EggNigri,1,1,0,
Pudding,0,1,0,Pudding,0,1,1,Pudding,0,1,1,
Wasabi,0,2,0,Wasabi,1,0,0,Wasabi,3,0,0,
Chopsticks,1,1,0,Chopsticks,1,0,0,Chopsticks,1,0,0,
GAME 18
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,2,0,1,Tempura,0,1,1,Tempura,1,1,0,
Sashimi,1,0,3,Sashimi,0,1,1,Sashimi,2,1,1,
Dumpling,2,0,2,Dumpling,0,1,1,Dumpling,1,1,2,
Maki,0,3,1,Maki,2,2,1,Maki,1,2,2,
SalmonNigri,0,2,0,SalmonNigri,4,0,0,SalmonNigri,2,2,0,
SquidNigri,1,1,0,SquidNigri,0,0,2,SquidNigri,0,0,1,
EggNigri,1,0,0,EggNigri,0,2,1,EggNigri,1,0,0,
Pudding,0,1,0,Pudding,1,2,2,Pudding,0,1,3,
Wasabi,1,2,0,Wasabi,1,0,0,Wasabi,1,1,0,
Chopsticks,1,0,2,Chopsticks,1,0,0,Chopsticks,0,0,0,
GAME 19
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,1,1,Tempura,0,1,1,Tempura,2,1,1,
Sashimi,0,1,1,Sashimi,0,2,1,Sashimi,0,1,2,
Dumpling,0,1,2,Dumpling,0,1,3,Dumpling,0,0,4,
Maki,2,1,3,Maki,0,0,1,Maki,1,2,2,
SalmonNigri,1,1,2,SalmonNigri,3,1,1,SalmonNigri,0,1,0,
SquidNigri,1,0,0,SquidNigri,2,0,0,SquidNigri,3,0,0,
EggNigri,1,1,0,EggNigri,1,0,0,EggNigri,1,1,0,
Pudding,1,3,0,Pudding,2,2,2,Pudding,0,0,0,
Wasabi,2,0,0,Wasabi,1,2,0,Wasabi,1,0,0,
Chopsticks,0,0,0,Chopsticks,0,0,0,Chopsticks,1,3,0,
GAME 20
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,2,3,Tempura,0,2,3,Tempura,1,1,1,
Sashimi,1,1,0,Sashimi,2,1,2,Sashimi,1,2,1,
Dumpling,1,1,2,Dumpling,1,0,0,Dumpling,0,3,2,
Maki,2,0,0,Maki,0,2,0,Maki,0,1,2,
SalmonNigri,2,0,2,SalmonNigri,1,0,2,SalmonNigri,2,1,0,
SquidNigri,2,2,0,SquidNigri,1,0,0,SquidNigri,1,0,0,
EggNigri,0,2,0,EggNigri,0,2,0,EggNigri,0,1,0,
Pudding,1,0,0,Pudding,2,0,2,Pudding,1,0,3,
Wasabi,0,1,2,Wasabi,0,0,0,Wasabi,3,0,0,
Chopsticks,0,0,0,Chopsticks,2,2,0,Chopsticks,0,0,0,
GAME 21
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,1,1,Tempura,3,5,0,Tempura,1,2,0,
Sashimi,1,2,1,Sashimi,0,1,2,Sashimi,0,2,2,
Dumpling,1,1,1,Dumpling,3,0,2,Dumpling,0,0,1,
Maki,1,2,3,Maki,0,0,1,Maki,1,1,2,
SalmonNigri,0,0,2,SalmonNigri,0,0,0,SalmonNigri,0,1,2,
SquidNigri,2,0,0,SquidNigri,0,0,1,SquidNigri,1,1,1,
EggNigri,0,0,0,EggNigri,0,2,1,EggNigri,0,1,1,
Pudding,0,3,1,Pudding,1,0,2,Pudding,2,1,0,
Wasabi,1,0,0,Wasabi,2,0,0,Wasabi,3,0,0,
Chopsticks,2,0,0,Chopsticks,0,1,0,Chopsticks,1,0,0,
GAME 22
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,0,1,Tempura,1,1,2,Tempura,1,0,1,
Sashimi,1,3,0,Sashimi,1,1,2,Sashimi,0,2,1,
Dumpling,1,2,3,Dumpling,1,2,1,Dumpling,2,0,0,
Maki,1,0,0,Maki,3,2,0,Maki,1,1,4,
SalmonNigri,1,2,1,SalmonNigri,0,0,2,SalmonNigri,2,2,0,
SquidNigri,1,0,1,SquidNigri,0,1,0,SquidNigri,0,3,0,
EggNigri,1,0,1,EggNigri,1,1,1,EggNigri,0,0,0,
Pudding,1,0,1,Pudding,0,1,0,Pudding,1,1,3,
Wasabi,1,1,1,Wasabi,1,0,1,Wasabi,1,0,0,
Chopsticks,1,1,0,Chopsticks,1,0,0,Chopsticks,1,0,0,
GAME 23
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,0,1,Tempura,3,2,1,Tempura,1,0,2,
Sashimi,2,2,3,Sashimi,0,2,1,Sashimi,2,0,2,
Dumpling,1,1,1,Dumpling,0,0,1,Dumpling,0,2,2,
Maki,1,0,2,Maki,1,1,3,Maki,0,0,1,
SalmonNigri,0,1,1,SalmonNigri,1,1,2,SalmonNigri,1,2,0,
SquidNigri,1,1,0,SquidNigri,1,1,1,SquidNigri,0,1,0,
EggNigri,1,1,0,EggNigri,1,1,0,EggNigri,1,0,0,
Pudding,1,2,0,Pudding,0,0,0,Pudding,3,1,2,
Wasabi,1,1,0,Wasabi,1,1,0,Wasabi,1,1,0,
Chopsticks,0,0,1,Chopsticks,1,0,0,Chopsticks,0,2,0,
GAME 24
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,2,0,Tempura,0,0,1,Tempura,2,0,2,
Sashimi,1,0,1,Sashimi,1,1,0,Sashimi,2,1,3,
Dumpling,0,0,2,Dumpling,2,1,2,Dumpling,1,2,0,
Maki,1,1,1,Maki,2,4,2,Maki,0,0,1,
SalmonNigri,2,0,2,SalmonNigri,0,0,2,SalmonNigri,1,1,2,
SquidNigri,3,0,0,SquidNigri,3,0,0,SquidNigri,0,0,0,
EggNigri,0,3,0,EggNigri,0,2,0,EggNigri,0,0,0,
Pudding,0,1,1,Pudding,0,0,2,Pudding,2,3,1,
Wasabi,0,0,2,Wasabi,1,1,0,Wasabi,0,2,0,
Chopsticks,1,2,0,Chopsticks,0,0,0,Chopsticks,1,0,0,
GAME 25
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,2,2,Tempura,0,1,2,Tempura,2,1,1,
Sashimi,2,0,2,Sashimi,0,0,2,Sashimi,2,0,3,
Dumpling,1,3,1,Dumpling,0,0,1,Dumpling,1,2,3,
Maki,2,0,1,Maki,1,0,2,Maki,0,2,1,
SalmonNigri,1,1,1,SalmonNigri,1,3,1,SalmonNigri,0,1,1,
SquidNigri,2,0,0,SquidNigri,3,0,0,SquidNigri,1,0,0,
EggNigri,0,2,0,EggNigri,1,2,0,EggNigri,0,0,0,
Pudding,0,0,0,Pudding,2,0,1,Pudding,2,1,0,
Wasabi,0,1,1,Wasabi,1,2,0,Wasabi,1,0,0,
Chopsticks,0,0,1,Chopsticks,0,1,0,Chopsticks,0,2,0,
GAME 26
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,2,3,0,Tempura,1,1,1,Tempura,1,0,3,
Sashimi,2,1,2,Sashimi,0,1,2,Sashimi,0,1,1,
Dumpling,0,2,3,Dumpling,2,3,0,Dumpling,1,1,0,
Maki,3,1,2,Maki,0,1,2,Maki,2,4,0,
SalmonNigri,0,0,0,SalmonNigri,0,0,1,SalmonNigri,0,1,2,
SquidNigri,1,0,1,SquidNigri,2,1,0,SquidNigri,1,0,0,
EggNigri,0,0,0,EggNigri,1,2,1,EggNigri,0,1,0,
Pudding,1,0,1,Pudding,0,0,2,Pudding,2,1,2,
Wasabi,0,1,0,Wasabi,1,0,0,Wasabi,1,0,1,
Chopsticks,0,1,0,Chopsticks,2,0,0,Chopsticks,1,0,0,
GAME 27
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,1,1,Tempura,3,1,2,Tempura,0,2,2,
Sashimi,1,1,2,Sashimi,0,0,1,Sashimi,0,1,2,
Dumpling,0,1,2,Dumpling,1,1,1,Dumpling,2,2,1,
Maki,1,0,4,Maki,2,1,1,Maki,3,2,1,
SalmonNigri,1,1,0,SalmonNigri,1,1,2,SalmonNigri,0,0,1,
SquidNigri,0,1,0,SquidNigri,0,0,1,SquidNigri,0,1,0,
EggNigri,1,2,0,EggNigri,0,1,0,EggNigri,1,0,0,
Pudding,2,1,0,Pudding,0,1,1,Pudding,2,1,2,
Wasabi,3,0,0,Wasabi,1,1,0,Wasabi,1,0,0,
Chopsticks,0,1,0,Chopsticks,1,2,0,Chopsticks,0,0,0,
GAME 28
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,1,1,Tempura,1,3,2,Tempura,1,2,1,
Sashimi,0,2,0,Sashimi,1,0,0,Sashimi,0,0,2,
Dumpling,0,1,1,Dumpling,1,0,1,Dumpling,2,0,1,
Maki,2,0,1,Maki,2,1,4,Maki,1,1,3,
SalmonNigri,0,2,4,SalmonNigri,1,0,0,SalmonNigri,1,2,0,
SquidNigri,1,0,0,SquidNigri,1,1,0,SquidNigri,1,2,0,
EggNigri,1,1,0,EggNigri,1,0,0,EggNigri,1,1,0,
Pudding,2,0,2,Pudding,1,1,1,Pudding,1,0,2,
Wasabi,1,1,0,Wasabi,0,2,0,Wasabi,1,1,0,
Chopsticks,1,1,0,Chopsticks,0,1,1,Chopsticks,0,0,0,
GAME 29
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,2,1,2,Tempura,2,0,2,Tempura,0,1,2,
Sashimi,1,0,0,Sashimi,0,0,2,Sashimi,1,3,2,
Dumpling,0,1,2,Dumpling,1,1,1,Dumpling,1,0,0,
Maki,2,1,1,Maki,1,4,0,Maki,1,0,3,
SalmonNigri,1,1,1,SalmonNigri,1,1,1,SalmonNigri,0,2,1,
SquidNigri,0,2,0,SquidNigri,1,2,0,SquidNigri,1,0,0,
EggNigri,2,0,0,EggNigri,1,0,0,EggNigri,2,0,0,
Pudding,1,1,1,Pudding,0,0,3,Pudding,3,0,1,
Wasabi,0,1,2,Wasabi,0,1,0,Wasabi,0,2,0,
Chopsticks,0,1,0,Chopsticks,2,0,0,Chopsticks,0,1,0,
GAME 30
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,1,1,Tempura,4,2,1,Tempura,0,2,0,
Sashimi,0,0,2,Sashimi,1,1,0,Sashimi,0,3,2,
Dumpling,1,1,3,Dumpling,1,1,1,Dumpling,1,0,2,
Maki,0,1,2,Maki,0,2,4,Maki,0,1,1,
SalmonNigri,2,0,0,SalmonNigri,1,1,1,SalmonNigri,0,1,2,
SquidNigri,1,1,0,SquidNigri,0,2,0,SquidNigri,2,0,0,
EggNigri,0,0,0,EggNigri,1,0,0,EggNigri,4,0,0,
Pudding,2,3,1,Pudding,0,0,0,Pudding,0,2,2,
Wasabi,2,0,0,Wasabi,1,0,2,Wasabi,1,0,0,
Chopsticks,1,2,0,Chopsticks,0,0,0,Chopsticks,1,0,0,

Sums=
Tempura,312
Sashimi,299
Dumpling,309
Maki,350
SalmonNigri,275
SquidNigri,171
EggNigri,150
Pudding,267
Wasabi,177
Chopsticks,120
